Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-08-03 13:14:24,FALSE,McHenry County - RVI9 (Variable-Intensity Interva,6.15,763,00:52:30,162,187,3.9,175,205,8:32,6:13,42,36,1.07,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,91.4,No,00:00:00.4,44,100.4,00:52:23,00:57:03,891,908
Running,2024-07-30 13:46:58,FALSE,McHenry County - RF29 (Foundation Run),6.51,819,01:00:01,158,182,3.3,168,181,9:13,7:25,80,74,1.04,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,84.2,No,00:00:01.3,8,95.0,00:59:41,04:14:15,898,967
Running,2024-07-28 17:36:41,FALSE,Crystal Lake - RMP3 (Marathon Pace Run),13.05,"1,609",01:57:09,164,193,5.0,170,197,8:58,6:58,240,254,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,84.2,No,00:00:01.6,16,91.4,01:56:07,02:06:00,741,908
Running,2024-07-27 13:46:06,FALSE,McHenry County - RF29 (Foundation Run),6.75,834,01:00:02,156,174,3.6,171,176,8:54,8:11,69,67,1.06,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,86.0,No,00:00:01.7,9,96.8,01:00:00,01:00:07,894,919
Running,2024-07-26 17:43:53,FALSE,McHenry County - RF29 (Foundation Run),6.99,829,01:00:21,150,164,3.6,171,181,8:38,8:09,65,63,1.09,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:20.6,9,87.8,01:00:17,01:00:21,890,917
Running,2024-07-25 10:33:13,FALSE,McHenry County - RF31 (Foundation Run),8.28,999,01:11:43,152,168,3.5,169,188,8:40,7:13,96,90,1.10,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,75.2,No,00:01:42.6,10,91.4,01:11:23,10:07:19,885,953
Running,2024-07-22 18:26:46,FALSE,McHenry County - RF29 (Foundation Run),6.80,807,01:00:02,146,163,3.4,169,176,8:50,8:11,61,62,1.08,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:02.0,9,87.8,00:59:59,01:00:02,886,916
Running,2024-07-18 16:00:47,FALSE,Berlin - RF29 (Foundation Run),6.16,714,01:00:02,137,147,2.9,165,181,9:45,8:38,24,22,1.00,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,84.2,No,00:00:01.9,8,87.8,00:59:17,01:04:49,56,73
Running,2024-07-17 17:49:45,FALSE,Berlin - RRe11 (Recovery Run),1.68,212,00:25:01,121,145,1.4,135,174,14:56,9:31,12,13,0.80,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,84.2,No,00:00:01.5,3,89.6,00:23:57,00:25:06,92,103
Running,2024-07-17 16:45:37,FALSE,Berlin - RP9 (Progression Run),7.20,821,01:01:02,150,183,3.7,173,200,8:29,6:03,32,27,1.10,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:02.0,11,89.6,01:00:46,01:03:23,110,122
