Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
RF30 (Foundation Run),Run,5:00 in Zone 1 1:00:00 in Zone 2,1.08333333333333,,2023-06-01,Note the slight increase in the duration of today's Foundation Run relative to prior ones.,11973.330078125,,,,,1.1114866733551,2.99200010299683,,167,,151,166,,,0.862088648505769,91.74,2,12,20,33,0,0,0,,,,,,,,,,,,,,,
LIR6 (Lactate Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 10 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 10 x 0:30 in Zone 4/0:15 in Zone 1 3:00 in Zone 1 10 x 0:30 in Zone 4/0:15 in Zone 1 20:00 in Zone 1,1.14166666666667,,2023-06-02,"Lactate Intervals Runs are designed to boost aerobic capacity (aka VO2max), which is the most important physiological underpinning of running performance. This particular format was developed by exercise scientists at Inland Norway University as a way to increase the amount of time an athlete is able to spend near VO2max intensity within a single session without becoming exhausted. Lactate Intervals target Zone 4, which is fairly broad. You'll get the most benefit if you aim for a pace you could sustain for 15 minutes in race conditions, which will put you close to the middle of the zone. Because both the intervals and the recoveries are so short in this workout, pacing can be tricky. Don't worry--you'll get the hang of it as you go.",12992.8603515625,,,,,1.1424355506897,3.15899991989136,,172,,147,183,,,0.889326279459945,100.48,10,30,7,3,4,11,5,,,,,,,,,,,,,,,3
RRe11 (Recovery Run),Run,25:00 in Zone 1,0.416666666666667,,2023-06-02,"It's no accident that, whereas professional cyclists ride their bikes just once a day, professional cyclists run twice most days. The reason is that, as a high-impact activity, running is hard on the body, and doing two shorter runs in a day rather than one longer run makes the stress of high-volume run training slightly more tolerable.",1718.53002929688,,,,,0.183369442820549,2.6029999256134,,164,,138,152,,,0.791920709626095,12.21,2,6,3,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-03,"The average recreational runner does less than 50 percent of their running at low intensity, whereas most professional runners do about 80 percent of their running at low intensity. Research has shown that recreational runners improve more when they switch from a typical 50/50 intensity balance to a pro-style 80/20 balance. This training plan features an 80/20 balance.",10020.259765625,,,,,1.00037562847137,2.78200006484985,,169,,145,166,,,0.840535811231308,78.33,7,21,15,17,1,0,0,,,,,,,,,,,,,,,
RHM3 (Half-Marathon Pace Run),Run,1 km in Zone 1 4 km in Zone 2 3 x (3 km @ HMP/0.1 km in Zone 1) 5 km in Zone 1,1.87138888888889,19300,2023-06-04,"Half-Marathon Pace Runs offer essential practice at race pace during half-marathon training, but are also a useful fitness builder in training for shorter and longer events. Although the half-marathon pace (HMP) segments in this run target Zone 3, your HMP may fall outside this range, so do your best to complete the segments at a pace you could sustain for a half marathon in race conditions regardless of zone. Unlike most 80/20 workouts, this one is distance-based rather than time-based because its job is to give runners of all ability levels equal preparation for the half-marathon race distance. Any time associated with this session is a broad estimate. Note that the 0.1 km Zone 1 segment following each HMP segment is actually intended as passive rest, so just walk for 100 meters.",19306.51953125,,,,,1.79101622104645,2.99399995803833,,174,,154,184,,,0.856613689092276,147.73,7,28,23,15,3,10,21,,,,,,,,,,,,,,,
RRe14 (Recovery Run),Run,40:00 in Zone 1,0.666666666666667,,2023-06-05,,6531.60009765625,,,,,0.669788062572479,2.70900011062622,,167,,142,158,,,0.751051209864059,41.47,6,14,18,3,0,0,0,,,,,,,,,,,,,,,
OUR9 (Over/Under Intervals Run),Run,5:00 in Zone 1 15:00 in Zone 2 4 x (3:00 in Zone 3/3:00 in Zone Y/3:00 in Zone 1) 20:00 in Zone 1,1.26666666666667,,2023-06-06,"Over/Under Intervals Runs feature intervals in which the intensity fluctuates between slightly above and slightly below the lactate threshold (LT). The harder segments target Zone Y, which occupies the small space between Zone 3 and Zone 4, while the easier segments target Zone 3, whose upper limit aligns with LT. Like Tempo Runs and other runs that directly target LT, Over/Under Intervals develop the ability to run relaxed and efficiently at moderate speeds, but their variable-pace format offers the additional benefit of teaching the body to recover from a harder effort while still running somewhat aggressively. In doing this or any Over/Under Intervals Run, focus on oscillating gently around the high end of Zone 3, going from just below it in the Zone 3 segments to just above it in the Zone Y segments.",14650.9599609375,,,,,1.26765024662018,3.21000003814697,,172,,155,180,,,0.870771062173996,107.15,6,10,20,15,7,11,7,,,,,,,,,,,,,,,
RRe12 (Recovery Run),Run,30:00 in Zone 1,0.5,,2023-06-06,The duration of your second runs increases from 25 to 30 minutes this week.,620.369995117188,,,,,0.0823425054550171,2.09299993515015,,145,,132,151,,,0.536896335279945,2.48,3,1,2,0,0,0,0,,,,,,,,,,,,,,,
RF29 (Foundation Run),Run,5:00 in Zone 1 55:00 in Zone 2,1,,2023-06-07,At no point during any Foundation Run should your rate of perceived effort (RPE) exceed 4 on a 1-10 scale.,10531.2998046875,,,,,1.00215411186218,2.91899991035461,,166,,149,170,,,0.798188379918299,70.72,2,14,28,14,1,2,0,,,,,,,,,,,,,,,7
RF30 (Foundation Run),Run,5:00 in Zone 1 1:00:00 in Zone 2,1.08333333333333,,2023-06-08,"If possible, do at least one Foundation Run per week on a dirt trail or other softer surface. This will slightly reduce wear and tear on your legs and the variation may also stimulate subtle improvements in your running form.",6323.27001953125,,,,,0.613089740276337,2.86500000953674,,166,,149,163,,,0.785819565874799,41.47,1,3,26,6,0,0,0,,,,,,,,,,,,,,,
